12		B	Timothée Lasserre	087530	2	1:1, 3:1 [2:5]	Dry	FRA	Xray	Hobbywing	Xb2		Sanwa	Details

Final Runs:
Run	Counted	Laps	Endtime	Besttime	Mediumtime	Points
Run 1	Yes 	15	5:08.928	0:19.448	0:20.358	1
Run 2	No 	14	5:06.217	0:19.936	0:21.643	5
Run 3	Yes 	15	5:09.699	0:19.800	0:20.418	1

Qualifying result:
Rank	Laps	Endtime	Points	Run
12	30	10:20.685	18	V12 [3]

13		B	Simon Durand	60705	3	2:1, 1:2 [3:3]	Dry	FRA						Details

Final Runs:
Run	Counted	Laps	Endtime	Besttime	Mediumtime	Points
Run 1	Yes 	15	5:16.229	0:19.480	0:20.825	2
Run 2	Yes 	15	5:16.439	0:19.734	0:20.806	1
Run 3	No 	15	5:17.932	0:19.697	0:20.939	3

Qualifying result:
Rank	Laps	Endtime	Points	Run
13	30	10:21.716	23	V12 [3]

14		B	Anthony Lion	036506	6	3:2, 2:4 [1:12]	Dry	FRA						Details

Final Runs:
Run	Counted	Laps	Endtime	Besttime	Mediumtime	Points
Run 1	No 	0	0:00.000	0:00.000	0:00.000	12
Run 2	Yes 	14	5:05.709	0:19.661	0:21.481	4
Run 3	Yes 	15	5:13.301	0:19.418	0:20.556	2

Qualifying result:
Rank	Laps	Endtime	Points	Run
16	29	10:11.832	27	V12 [3]

15		B	laurent LIEVRE	036504	7	2:2, 3:5 [1:5]	Dry	FRA						Details

Final Runs:
Run	Counted	Laps	Endtime	Besttime	Mediumtime	Points
Run 1	No 	14	5:15.026	0:19.737	0:22.162	5
Run 2	Yes 	14	5:00.514	0:19.737	0:21.173	2
Run 3	Yes 	14	5:08.569	0:19.752	0:21.744	5

Qualifying result:
Rank	Laps	Endtime	Points	Run
14	28	10:04.225	26	V12 [3]

16		B	Vincent Clarhaut	065373	7	1:3, 3:4 [2:6]	Dry	FRA						Details

Final Runs:
Run	Counted	Laps	Endtime	Besttime	Mediumtime	Points
Run 1	Yes 	14	5:02.210	0:19.287	0:21.232	3
Run 2	No 	14	5:10.285	0:19.215	0:21.825	6
Run 3	Yes 	14	5:02.466	0:18.998	0:21.277	4

Qualifying result:
Rank	Laps	Endtime	Points	Run
15	28	10:10.229	27	V12 [3]

17		B	gregory GALAN	30861	9	2:3, 1:6 [3:11]	Dry	FRA						Details

Final Runs:
Run	Counted	Laps	Endtime	Besttime	Mediumtime	Points
Run 1	Yes 	14	5:16.559	0:19.686	0:22.214	6
Run 2	Yes 	14	5:00.969	0:19.701	0:21.058	3
Run 3	No 	10	5:16.325	0:19.171	0:24.604	11

Qualifying result:
Rank	Laps	Endtime	Points	Run
18	28	10:28.695	34	V12 [3]

18		B	Raphael MAGUEUR	069733	10	1:4, 3:6 [2:7]	Dry	FRA						Details

Final Runs:
Run	Counted	Laps	Endtime	Besttime	Mediumtime	Points
Run 1	Yes 	14	5:10.196	0:20.128	0:21.777	4
Run 2	No 	13	5:08.711	0:20.396	0:23.303	7
Run 3	Yes 	14	5:12.873	0:20.655	0:21.960	6

Qualifying result:
Rank	Laps	Endtime	Points	Run
17	28	10:14.008	29	V12 [3]

19		B	Laurent Mertens	084034	15	3:7, 2:8 [1:9]	Dry	BEL	ATC PRracing					Details

Final Runs:
Run	Counted	Laps	Endtime	Besttime	Mediumtime	Points
Run 1	No 	13	5:17.519	0:20.572	0:23.957	9
Run 2	Yes 	12	5:04.388	0:21.352	0:24.840	8
Run 3	Yes 	14	5:19.327	0:20.885	0:22.383	7

Qualifying result:
Rank	Laps	Endtime	Points	Run
19	28	10:32.591	34	V12 [3]

20		B	Guillaume Wlodarczyk	0	15	1:7, 3:8 [2:9]	Dry	FRA						Details

Final Runs:
Run	Counted	Laps	Endtime	Besttime	Mediumtime	Points
Run 1	Yes 	13	5:10.580	0:21.923	0:23.383	7
Run 2	No 	12	5:16.751	0:21.769	0:25.852	9
Run 3	Yes 	13	5:04.580	0:21.626	0:22.938	8

Qualifying result:
Rank	Laps	Endtime	Points	Run
20	27	10:30.504	35	V12 [3]

21		B	Maxime Lion	81602	18	1:8, 3:10 [2:11]	Dry	FRA						Details

Final Runs:
Run	Counted	Laps	Endtime	Besttime	Mediumtime	Points
Run 1	Yes 	13	5:14.428	0:21.565	0:23.641	8
Run 2	No 	5	2:09.468	0:22.254	0:24.529	11
Run 3	Yes 	12	5:13.741	0:22.374	0:25.571	10

Qualifying result:
Rank	Laps	Endtime	Points	Run
21	25	10:24.823	41	V12 [3]

22		B	Jean-Pierre Dehorter	032769	19	3:9, 1:10 [2:10]	Dry	FRA	Associated	Hobbywing 7.5	B6	Schumacher	Futaba	Details

Final Runs:
Run	Counted	Laps	Endtime	Besttime	Mediumtime	Points
Run 1	Yes 	12	5:08.494	0:22.137	0:25.081	10
Run 2	No 	12	5:20.316	0:22.723	0:26.051	10
Run 3	Yes 	12	5:03.749	0:22.142	0:24.684	9

Qualifying result:
Rank	Laps	Endtime	Points	Run
22	24	10:43.627	43	V12 [3]
